weekly,weekly_accident
2018-01-01,2092
2018-01-02,2228
2018-01-03,2514
2018-01-04,2332
2018-01-05,1138
2018-02-05,1050
2018-02-06,2538
2018-02-07,2364
2018-02-08,2181
2018-02-09,895
2018-03-09,980
2018-03-10,2401
2018-03-11,2149
2018-03-12,2135
2018-03-13,1784
2018-04-13,295
2018-04-14,2043
2018-04-15,2222
2018-04-16,2622
2018-04-17,2233
2018-04-18,338
2018-05-18,1979
2018-05-19,2525
2018-05-20,2629
2018-05-21,2530
2018-05-22,1188
2018-06-22,846
2018-06-23,2504
2018-06-24,2501
2018-06-25,2587
2018-06-26,2663
2018-07-26,247
2018-07-27,2373
2018-07-28,2489
2018-07-29,2297
2018-07-30,2403
2018-07-31,685
2018-08-31,1697
2018-08-32,2341
2018-08-33,2028
2018-08-34,2217
2018-08-35,1467
2018-09-35,714
2018-09-36,2431
2018-09-37,2495
2018-09-38,2471
2018-09-39,2645
2018-10-40,2309
2018-10-41,2473
2018-10-42,2473
2018-10-43,2364
2018-10-44,1077
2018-11-44,1160
2018-11-45,2469
2018-11-46,2558
2018-11-47,2504
2018-11-48,2080
2018-12-48,780
2018-12-49,2168
2018-12-50,2614
2018-12-51,2467
2018-12-52,1451
2018-12-53,202
2019-01-00,1795
2019-01-01,2164
2019-01-02,2201
2019-01-03,2289
2019-01-04,1432
2019-02-04,773
2019-02-05,2369
2019-02-06,2411
2019-02-07,2147
2019-02-08,1412
2019-03-08,666
2019-03-09,2314
2019-03-10,2143
2019-03-11,2092
2019-03-12,2264
2019-04-13,2273
2019-04-14,2315
2019-04-15,2089
2019-04-16,2004
2019-04-17,633
2019-05-17,1443
2019-05-18,2454
2019-05-19,2322
2019-05-20,2346
2019-05-21,1433
2019-06-21,514
2019-06-22,2140
2019-06-23,2259
2019-06-24,2325
2019-06-25,2419
2019-07-26,2242
2019-07-27,2146
2019-07-28,2385
2019-07-29,2319
2019-07-30,929
2019-08-30,1354
2019-08-31,2364
2019-08-32,2063
2019-08-33,2289
2019-08-34,1802
2019-09-34,381
2019-09-35,2022
2019-09-36,2398
2019-09-37,2606
2019-09-38,2416
2019-09-39,334
2019-10-39,1837
2019-10-40,2211
2019-10-41,2446
2019-10-42,2208
2019-10-43,1303
2019-11-43,972
2019-11-44,2269
2019-11-45,2537
2019-11-46,2507
2019-11-47,2378
2019-12-47,282
2019-12-48,2222
2019-12-49,2446
2019-12-50,2524
2019-12-51,1426
2019-12-52,477
2020-01-00,956
2020-01-01,1926
2020-01-02,2492
2020-01-03,2293
2020-01-04,1725
2020-02-04,451
2020-02-05,1601
2020-02-06,2128
2020-02-07,1828
2020-02-08,1903
2020-03-08,238
2020-03-09,1504
2020-03-10,2003
2020-03-11,1382
2020-03-12,684
2020-03-13,157
2020-04-13,1071
2020-04-14,2064
2020-04-15,736
2020-04-16,956
2020-04-17,481
2020-05-17,838
2020-05-18,1574
2020-05-19,1377
2020-05-20,1406
2020-05-21,1656
2020-06-22,1809
2020-06-23,1755
2020-06-24,1631
2020-06-25,1910
2020-06-26,416
2020-07-26,1234
2020-07-27,1811
2020-07-28,1775
2020-07-29,1867
2020-07-30,1447
2020-08-30,593
2020-08-31,1495
2020-08-32,1879
2020-08-33,1942
2020-08-34,2011
2020-08-35,241
2020-09-35,1283
2020-09-36,2038
2020-09-37,2350
2020-09-38,2145
2020-09-39,945
2020-10-39,1060
2020-10-40,1775
2020-10-41,2020
2020-10-42,1957
2020-10-43,1619
2020-11-43,237
2020-11-44,1657
2020-11-45,1837
2020-11-46,1726
2020-11-47,1698
2020-11-48,276
2020-12-48,1294
2020-12-49,1925
2020-12-50,2028
2020-12-51,1432
2020-12-52,651
2021-01-00,465
2021-01-01,2195
2021-01-02,1506
2021-01-03,1428
2021-01-04,1284
2021-02-05,1719
2021-02-06,1873
2021-02-07,1230
2021-02-08,1538
2021-03-09,1573
2021-03-10,1992
2021-03-11,1535
2021-03-12,1506
2021-03-13,905
2021-04-13,777
2021-04-14,2167
2021-04-15,2080
2021-04-16,2357
2021-04-17,1540
2021-05-17,427
2021-05-18,1920
2021-05-19,2072
2021-05-20,2110
2021-05-21,2250
2021-05-22,301
2021-06-22,1386
2021-06-23,2259
2021-06-24,2188
2021-06-25,2145
2021-06-26,856
2021-07-26,682
2021-07-27,2236
2021-07-28,2278
2021-07-29,2257
2021-07-30,1716
2021-08-30,228
2021-08-31,1743
2021-08-32,2237
2021-08-33,1956
2021-08-34,2064
2021-08-35,468
2021-09-35,1055
2021-09-36,2435
2021-09-37,2279
2021-09-38,2386
2021-09-39,1366
2021-10-39,552
2021-10-40,2120
2021-10-41,2281
2021-10-42,2232
2021-10-43,2096
2021-11-44,1684
2021-11-45,2054
2021-11-46,2157
2021-11-47,2425
2021-11-48,642
2021-12-48,1250
2021-12-49,2138
2021-12-50,1975
2021-12-51,1542
2021-12-52,969
2022-01-00,497
2022-01-01,2059
2022-01-02,2339
2022-01-03,2238
2022-01-04,2170
2022-01-05,268
2022-02-05,1464
2022-02-06,1982
2022-02-07,1755
2022-02-08,1893
2022-02-09,284
2022-03-09,1531
2022-03-10,1867
2022-03-11,2072
2022-03-12,2096
2022-03-13,1148
2022-04-13,892
2022-04-14,1918
2022-04-15,1963
2022-04-16,1855
2022-04-17,1749
2022-05-17,298
2022-05-18,1907
2022-05-19,2120
2022-05-20,2196
2022-05-21,2017
2022-05-22,564
2022-06-22,1307
2022-06-23,2068
2022-06-24,2318
2022-06-25,2383
2022-06-26,1170
2022-07-26,889
2022-07-27,2163
2022-07-28,2259
2022-07-29,1916
2022-07-30,1878
2022-08-31,2062
2022-08-32,2284
2022-08-33,1939
2022-08-34,1911
2022-08-35,752
2022-09-35,1072
2022-09-36,2158
2022-09-37,2234
2022-09-38,1927
2022-09-39,1602
2022-10-39,579
2022-10-40,2139
2022-10-41,2242
2022-10-42,2119
2022-10-43,1960
2022-10-44,328
2022-11-44,1792
2022-11-45,2036
2022-11-46,2246
2022-11-47,2236
2022-11-48,951
2022-12-48,1113
2022-12-49,2052
2022-12-50,1956
2022-12-51,1730
2022-12-52,1091
